place_id,name,city,full_address,gps_lat,gps_lng,website_url,naver_map_url,booking_url,active,boarding,house_sitting,drop_in_visit,doggy_day_care,dog_walking,grooming,pet_training,pet_types,price_from_krw,price_note,languages_spoken,contact_methods
19,포썸도그 센터,Seogwipo,제주 서귀포시 대정읍 영어도시로 92 1층 (구억리),33.2802141,126.2801437,https://pawsomedogcenter.com/,https://pcmap.place.naver.com/place/1957095625/home,https://pawsomedogcenter.com/,,true,false,false,true,false,true,true,dogs,,Temperament test before enrolment; English-speaking staff,"Korean, English",instagram:pawsomedog_official
20,왈도그케어플레이스,Seogwipo,제주 서귀포시 대정읍 중산간서로 2197 (구억리),33.2794712,126.2930485,,https://pcmap.place.naver.com/place/1369449049/home,,,true,,,true,,true,,dogs,,Separate small-dog and large-dog areas,Korean,instagram:wal_dcp_official
21,담담유치원,Seogwipo,제주 서귀포시 토평남로48번길 18 (토평동),33.2623951,126.5920263,,https://pcmap.place.naver.com/place/2092902734/home,https://open.kakao.com/o/sNyrYE7h,,true,,,true,,,,dogs,20000,Day care day pass under 5kg (bands to 11kg); 100% advance booking,Korean,mobile_phone:0507-1393-0962;instagram:damdam.kinder;kakaotalk:https://open.kakao.com/o/sNyrYE7h
22,싱글몽글,Seogwipo,제주 서귀포시 일주동로 8510 (토평동),33.2555958,126.5788874,,https://pcmap.place.naver.com/place/1178876259/home,,,true,,,true,,true,,dogs,20000,"Day care day pass; grooming from 35,000; boarding from 35,000/night",Korean,mobile_phone:0507-1389-5745;instagram:single._.mongle
23,그루밍제주,Seogwipo,제주 서귀포시 천제연로 357 (회수동),33.2525089,126.442915,,https://pcmap.place.naver.com/place/1979286000/home,,,,,,,,true,,dogs,,,Korean,mobile_phone:0507-1488-7577;instagram:grooming_jeju
24,몽블리 펫샵,Seogwipo,제주 서귀포시 안덕면 녹차분재로 41 1층 (서광리),33.2893441,126.302008,,https://pcmap.place.naver.com/place/1160756296/home,,,true,,,true,,true,,"dogs, cats",,Walk service included during boarding; sedation-free cat grooming,Korean,mobile_phone:0507-1344-0329;instagram:petshopmongvely
25,우프 애견운동장&유치원,Seogwipo,제주 서귀포시 남원읍 하신로 302 (신례리),33.280432,126.6318865,,https://pcmap.place.naver.com/place/1050898853/home,https://m.booking.naver.com/booking/6/bizes/1657995/search,,true,,,true,,,,dogs,5000,Dog admission to playground field,Korean,mobile_phone:0507-1397-1281;instagram:woof_jeju
26,제주펫시터 토닥,Jeju City,제주 제주시 삼봉로 284 (도련일동),33.4977279,126.5940954,https://blog.naver.com/petsitter_todak,https://pcmap.place.naver.com/place/1717355757/home,https://open.kakao.com/o/sodW2zYf,,false,true,true,false,true,false,true,dogs,,Visiting sitter: care at your home; certified behaviour instructor,Korean,mobile_phone:0507-1385-0591;instagram:jejupet.todak;kakaotalk:https://open.kakao.com/o/sodW2zYf;naver_talk:http://talk.naver.com/w4d0g7
27,산책의 고수,Jeju City,제주 제주시 한경면 저지14길 47-2 (저지리),33.3411546,126.2648314,,https://pcmap.place.naver.com/place/2086707663/home,,,false,,true,false,true,false,false,"dogs, cats",10000,"Cat home visit; dog home visit incl. walk 20,000",Korean,mobile_phone:0507-1346-1085
28,로이즈 펫시터,Jeju City,제주 제주시 애월읍 고하상로 101-2 1동 2층 (하가리),33.457032,126.3477297,,https://pcmap.place.naver.com/place/1439001711/home,,,true,,,true,true,false,false,dogs,4000,"Hourly day care; 24h home-style boarding 39,000 (max 5 dogs/day)",Korean,instagram:roys_pet_sitter_2025
29,말랑포레스트&키티포레스트,Jeju City,제주 제주시 한경면 녹차분재로 354 (저지리),33.3082606,126.2815265,,https://pcmap.place.naver.com/place/2071611792/home,,,true,true,true,true,true,false,false,"dogs, cats",,Dog hotel + separate cat hotel; visiting care offered,Korean,mobile_phone:0507-1448-3188;instagram:mallang_forest_jeju
30,제주애견훈련학교,Jeju City,제주 제주시 삼의영길 72 (아라일동),33.461906,126.5535514,http://cafe.naver.com/jejudogschool,https://pcmap.place.naver.com/place/1034415056/home,,,true,,,,,,true,dogs,,Large-dog specialist; in-home training available,Korean,mobile_phone:0507-1447-9205
31,김재신반려견스쿨,Seogwipo,제주 서귀포시 표선면 돈오름로 170 허브동산 (표선),33.3291241,126.8147261,http://cafe.naver.com/howtospeakdog,https://pcmap.place.naver.com/place/719370899/home,,,true,,,,,,true,dogs,,"Behaviour correction, agility, IGP; medium/large dogs",Korean,mobile_phone:0507-1409-2873;instagram:jeju_dog_training_center
32,도담도그 스쿨,Jeju City,제주 제주시 조천읍 대흘6길 77-37 (대흘리),33.4884077,126.6678957,,https://pcmap.place.naver.com/place/1088890263/home,,,,,,true,,,true,dogs,,Large outdoor training field,Korean,mobile_phone:0507-1439-0839;instagram:dodam_dogschool.jeju;naver_talk:http://talk.naver.com/w5itwh
33,놀멍쉬멍고르멍,Seogwipo,제주 서귀포시 현청로 51 (서홍동),33.2657042,126.5558813,,https://pcmap.place.naver.com/place/442893274/home,,,,,,,,,,dogs,,Small-dog park & cafe (small dogs only),Korean,mobile_phone:0507-1409-2405;instagram:meong_3
34,도그앤캣,Seogwipo,제주특별자치도 서귀포시 홍중로 119-2 601동 107호 (서홍동),,,,,,,true,,,,,true,,dogs,,,Korean,mobile_phone:0507-1308-7585
